sID,compensation,blocks,poorData,below90,age,gender,hand,normalVis,colourBlind,motionSick,exerciseHours,videoGameHours,drivingGameHours,drivingHours,computerHours,attentionBefore,energyBefore,attentionAfter,energyAfter,balanceAfter
100,Declined,2,0,0,64,1,0,1,0,3,4,1,1,3,5,2,2,2,2,5
101,Money,2,0,0,57,1,1,1,0,5,4,1,1,4,5,4,4,3,2,2
102,Money,2,0,1,60,0,1,1,0,1,3,1,1,3,4,3,3,5,4,5
103,Credit,2,0,1,20,1,1,1,0,4,3,1,1,3,3,3,3,3,2,3
104,Credit,2,0,0,18,1,0,1,0,1,4,1,1,3,4,3,3,4,3,4
105,Credit,2,0,0,18,0,1,1,0,1,4,3,1,3,5,5,5,5,5,5
106,Credit,2,0,0,18,0,1,1,0,2,4,2,2,2,5,3,3,2,3,3
107,Credit,2,0,0,18,0,0,1,0,1,3,2,1,1,5,3,3,3,3,3
108,Credit,2,0,0,18,1,1,1,0,2,3,1,1,3,3,3,2,3,3,2
109,Credit,2,0,0,19,1,1,1,0,2,3,2,2,2,4,2,3,5,3,5
110,Credit,2,0,0,19,1,1,1,0,2,3,2,1,3,5,3,4,2,3,3
111,Credit,2,0,0,19,0,1,1,0,4,2,3,1,3,4,3,3,2,2,5
112,Credit,2,0,0,19,0,1,1,0,1,2,4,2,3,5,3,4,5,4,5
113,Credit,2,0,0,18,1,1,1,0,2,3,1,1,2,3,2,5,3,4,5
114,Money,2,0,0,61,0,0,1,0,4,2,1,1,2,3,2,3,5,4,5
115,Money,2,0,0,63,1,1,1,0,1,2,1,1,2,3,3,3,3,3,3
116,Credit,2,0,0,18,1,1,1,0,2,5,2,1,1,5,3,2,2,1,5
117,Credit,2,0,1,23,0,1,1,0,1,3,2,1,5,4,3,2,2,2,2
118,Credit,2,0,1,19,0,1,1,0,3,3,3,2,3,4,3,3,5,3,3
119,Credit,2,0,0,19,0,1,1,0,2,2,4,1,1,5,2,4,4,4,5
120,Credit,2,0,0,18,1,1,1,0,1,2,1,1,1,3,3,2,5,3,3
121,Credit,2,0,1,19,1,1,1,0,1,3,1,1,3,4,3,3,4,4,3
122,Credit,2,0,1,18,1,1,1,0,2,3,1,1,5,4,5,4,4,3,5
123,Credit,2,0,0,18,0,1,1,0,2,4,2,1,1,2,5,3,4,3,4
124,Credit,2,0,0,21,0,1,1,0,1,3,1,1,3,5,4,5,5,5,5
125,Credit,2,0,0,21,0,1,1,0,2,3,4,1,1,4,5,4,5,5,4
126,Declined,2,0,0,20,1,1,1,0,4,2,1,1,3,5,3,2,3,2,2
